type,date time,latitude,longitude,accuracy(m),altitude(m),geoid_height(m),speed(m/s),bearing(deg),sat_used,sat_inview,name,desc
T,2023-05-08 10:10:23,37.74655899,112.71489507,2.50,800.951,-17.951,0.190,185,28,41,20230508-181023,GPS Logger: 20230508-181023
T,2023-05-08 10:10:24,37.74656171,112.71489188,2.50,800.951,-17.951,0.000,,31,42,,
T,2023-05-08 10:10:25,37.74656171,112.71489188,2.50,800.951,-17.951,0.000,,28,42,,
T,2023-05-08 10:10:26,37.74656171,112.71489188,2.50,800.951,-17.951,0.000,,32,42,,
T,2023-05-08 10:10:27,37.74656171,112.71489188,2.50,800.951,-17.951,0.000,,29,41,,
T,2023-05-08 10:10:28,37.74656171,112.71489188,2.00,800.951,-17.951,0.000,,31,40,,
T,2023-05-08 10:10:29,37.74656171,112.71489188,2.00,800.951,-17.951,0.000,,29,40,,
T,2023-05-08 10:10:30,37.74655945,112.71489280,2.00,798.951,-17.951,0.500,208,29,40,,
T,2023-05-08 10:10:31,37.74655669,112.71489054,2.50,798.951,-17.951,0.150,205,24,40,,
T,2023-05-08 10:10:32,37.74655677,112.71489071,2.00,798.951,-17.951,0.000,,32,40,,
T,2023-05-08 10:10:33,37.74655979,112.71489389,2.50,798.951,-17.951,0.310,232,31,40,,
T,2023-05-08 10:10:34,37.74656385,112.71489766,1.50,798.951,-17.951,0.000,,31,40,,
T,2023-05-08 10:10:35,37.74656385,112.71489766,2.00,798.951,-17.951,0.000,,28,39,,
T,2023-05-08 10:10:36,37.74655928,112.71489708,2.00,798.951,-17.951,1.110,230,28,40,,
T,2023-05-08 10:10:37,37.74655413,112.71489657,2.00,799.951,-17.951,0.600,197,28,40,,
T,2023-05-08 10:10:38,37.74654260,112.71489758,2.00,799.951,-17.951,1.120,172,31,41,,
T,2023-05-08 10:10:39,37.74653812,112.71490403,2.00,799.951,-17.951,0.850,115,32,40,,
T,2023-05-08 10:10:40,37.74653992,112.71491535,2.00,800.951,-17.951,0.850,106,31,40,,
T,2023-05-08 10:10:41,37.74654160,112.71491929,2.00,800.951,-17.951,0.760,163,30,40,,
T,2023-05-08 10:10:42,37.74653862,112.71491149,2.50,801.951,-17.951,0.630,208,31,40,,
T,2023-05-08 10:10:43,37.74653401,112.71490445,2.50,801.951,-17.951,0.020,222,31,41,,
T,2023-05-08 10:10:44,37.74653498,112.71490454,2.50,801.951,-17.951,0.140,231,31,41,,
T,2023-05-08 10:10:45,37.74653120,112.71490286,2.50,801.951,-17.951,0.060,236,32,41,,
T,2023-05-08 10:10:46,37.74653070,112.71490118,2.50,800.951,-17.951,0.000,,29,41,,
T,2023-05-08 10:10:47,37.74652240,112.71489297,2.00,800.951,-17.951,1.540,212,27,41,,
T,2023-05-08 10:10:48,37.74651100,112.71488719,2.00,800.951,-17.951,1.350,197,32,41,,
T,2023-05-08 10:10:49,37.74649801,112.71488761,2.00,800.951,-17.951,1.360,184,32,41,,
T,2023-05-08 10:10:50,37.74648502,112.71488702,2.00,801.951,-17.951,1.440,181,31,41,,
T,2023-05-08 10:10:51,37.74646968,112.71488585,2.00,801.951,-17.951,1.800,178,32,40,,
T,2023-05-08 10:10:52,37.74645208,112.71489029,2.00,801.951,-17.951,1.760,175,32,40,,
T,2023-05-08 10:10:53,37.74643770,112.71489440,2.00,801.951,-17.951,1.680,171,32,40,,
T,2023-05-08 10:10:54,37.74642266,112.71489515,2.00,801.951,-17.951,1.810,179,31,39,,
T,2023-05-08 10:10:55,37.74640698,112.71489716,2.00,801.951,-17.951,1.590,179,31,40,,
T,2023-05-08 10:10:56,37.74639475,112.71489875,2.00,801.951,-17.951,1.570,174,32,39,,
T,2023-05-08 10:10:57,37.74637870,112.71490102,2.50,801.951,-17.951,1.650,173,31,39,,
T,2023-05-08 10:10:58,37.74636352,112.71490848,2.50,801.951,-17.951,1.550,172,31,39,,
T,2023-05-08 10:10:59,37.74635179,112.71491451,2.50,801.951,-17.951,1.430,168,32,39,,
T,2023-05-08 10:11:00,37.74634127,112.71491921,2.50,801.951,-17.951,0.440,165,32,39,,
T,2023-05-08 10:11:01,37.74633674,112.71492080,2.50,801.951,-17.951,0.590,165,26,39,,
T,2023-05-08 10:11:02,37.74632459,112.71492323,3.00,800.951,-17.951,0.700,172,27,39,,
T,2023-05-08 10:11:03,37.74631227,112.71492633,3.00,799.951,-17.951,0.720,176,29,39,,
T,2023-05-08 10:11:04,37.74629735,112.71492943,3.00,799.951,-17.951,0.960,166,25,39,,
T,2023-05-08 10:11:05,37.74628323,112.71494083,2.50,799.951,-17.951,1.080,148,28,39,,
T,2023-05-08 10:11:06,37.74627233,112.71494603,3.00,799.951,-17.951,0.960,141,31,39,,
T,2023-05-08 10:11:07,37.74626194,112.71495801,2.50,799.951,-17.951,1.080,132,31,39,,
T,2023-05-08 10:11:08,37.74625536,112.71497243,3.00,799.951,-17.951,1.230,109,31,39,,
T,2023-05-08 10:11:09,37.74625565,112.71497763,3.00,799.951,-17.951,0.490,95,31,39,,
T,2023-05-08 10:11:10,37.74625288,112.71496849,2.50,800.951,-17.951,0.350,87,31,39,,
T,2023-05-08 10:11:11,37.74625045,112.71496648,3.00,801.951,-17.951,0.200,75,30,39,,
T,2023-05-08 10:11:12,37.74625280,112.71495583,3.00,802.951,-17.951,0.420,86,29,40,,
T,2023-05-08 10:11:13,37.74625096,112.71494469,3.00,802.951,-17.951,0.670,245,30,40,,
T,2023-05-08 10:11:14,37.74624572,112.71493672,3.00,802.951,-17.951,0.340,274,32,40,,
T,2023-05-08 10:11:15,37.74624551,112.71492943,3.50,801.951,-17.951,0.870,281,30,40,,
T,2023-05-08 10:11:16,37.74624484,112.71491594,3.00,801.951,-17.951,1.110,273,32,40,,
T,2023-05-08 10:11:17,37.74624132,112.71490253,3.00,801.951,-17.951,1.120,274,32,40,,
T,2023-05-08 10:11:18,37.74624153,112.71489398,2.50,801.951,-17.951,0.680,278,32,40,,
T,2023-05-08 10:11:19,37.74623578,112.71488828,2.50,801.951,-17.951,0.660,258,32,40,,
T,2023-05-08 10:11:20,37.74623252,112.71488073,2.50,802.951,-17.951,0.730,262,31,40,,
T,2023-05-08 10:11:21,37.74623105,112.71486900,2.00,801.952,-17.952,0.260,262,28,41,,
T,2023-05-08 10:11:22,37.74623092,112.71486741,2.00,801.952,-17.952,0.020,261,30,41,,
T,2023-05-08 10:11:23,37.74623071,112.71486062,2.00,801.952,-17.952,0.360,252,30,41,,
T,2023-05-08 10:11:24,37.74622778,112.71485961,2.00,801.952,-17.952,0.000,,30,41,,
T,2023-05-08 10:11:25,37.74622778,112.71485961,2.00,801.952,-17.952,0.000,,32,42,,
T,2023-05-08 10:11:26,37.74622778,112.71485961,2.00,801.952,-17.952,0.000,,32,43,,
T,2023-05-08 10:11:27,37.74622778,112.71485961,2.50,801.952,-17.952,0.000,,32,42,,
T,2023-05-08 10:11:28,37.74622778,112.71485961,2.00,801.952,-17.952,0.000,,31,43,,
T,2023-05-08 10:11:29,37.74622778,112.71485961,1.50,801.952,-17.952,0.000,,32,43,,
T,2023-05-08 10:11:30,37.74623289,112.71486028,1.50,799.952,-17.952,0.230,268,30,43,,
T,2023-05-08 10:11:31,37.74623289,112.71486606,2.00,799.952,-17.952,0.330,260,30,43,,
T,2023-05-08 10:11:32,37.74623067,112.71486204,1.50,799.952,-17.952,0.250,252,31,43,,
T,2023-05-08 10:11:33,37.74622610,112.71486011,1.50,798.952,-17.952,0.040,251,32,42,,
T,2023-05-08 10:11:34,37.74622363,112.71485726,1.50,799.952,-17.952,0.000,,30,42,,
T,2023-05-08 10:11:35,37.74622363,112.71485726,2.00,799.952,-17.952,0.000,,32,44,,
T,2023-05-08 10:11:36,37.74622363,112.71485726,2.00,799.952,-17.952,0.000,,32,44,,
T,2023-05-08 10:11:37,37.74622661,112.71485785,2.00,799.952,-17.952,0.050,252,31,44,,
T,2023-05-08 10:11:38,37.74622845,112.71485609,1.50,799.952,-17.952,0.000,,31,44,,
T,2023-05-08 10:11:39,37.74622845,112.71485609,1.50,799.952,-17.952,0.000,,32,44,,
T,2023-05-08 10:11:40,37.74622841,112.71485609,1.50,799.952,-17.952,0.000,,32,44,,
T,2023-05-08 10:11:41,37.74622954,112.71485710,2.00,799.952,-17.952,0.000,,31,43,,
T,2023-05-08 10:11:42,37.74622954,112.71485710,1.50,799.952,-17.952,0.000,,29,43,,
T,2023-05-08 10:11:43,37.74623029,112.71486154,1.50,799.952,-17.952,0.910,38,31,43,,
T,2023-05-08 10:11:44,37.74623310,112.71486439,1.50,799.952,-17.952,0.310,42,31,43,,
T,2023-05-08 10:11:45,37.74623465,112.71486565,2.00,799.952,-17.952,0.080,45,31,43,,
T,2023-05-08 10:11:46,37.74623453,112.71486556,2.00,799.952,-17.952,0.000,,32,42,,
T,2023-05-08 10:11:47,37.74623524,112.71486615,1.50,799.952,-17.952,0.000,,30,42,,
T,2023-05-08 10:11:48,37.74623340,112.71486246,2.00,799.952,-17.952,0.950,272,31,43,,
T,2023-05-08 10:11:49,37.74623495,112.71486011,2.00,799.952,-17.952,0.690,312,32,43,,
T,2023-05-08 10:11:50,37.74623771,112.71486087,2.00,799.952,-17.952,0.140,313,26,43,,
T,2023-05-08 10:11:51,37.74623738,112.71486020,2.00,799.952,-17.952,0.000,,32,41,,
T,2023-05-08 10:11:52,37.74623721,112.71486011,2.00,799.952,-17.952,0.000,,32,41,,
T,2023-05-08 10:11:53,37.74623700,112.71485986,2.00,799.952,-17.952,0.000,,31,41,,
T,2023-05-08 10:11:54,37.74623700,112.71485986,2.00,799.952,-17.952,0.000,,28,41,,
T,2023-05-08 10:11:55,37.74623700,112.71485986,2.00,799.952,-17.952,0.000,,29,41,,
T,2023-05-08 10:11:56,37.74622962,112.71486070,2.00,798.952,-17.952,0.070,314,30,41,,
T,2023-05-08 10:11:57,37.74622971,112.71486078,2.00,798.952,-17.952,0.010,314,31,41,,
T,2023-05-08 10:11:58,37.74622941,112.71486070,2.00,798.952,-17.952,0.000,,31,40,,
T,2023-05-08 10:11:59,37.74622920,112.71486045,2.00,798.952,-17.952,0.000,,32,40,,
T,2023-05-08 10:12:00,37.74622254,112.71485676,2.00,798.952,-17.952,0.540,264,32,40,,
T,2023-05-08 10:12:01,37.74622179,112.71485458,2.00,797.952,-17.952,0.370,262,28,40,,
T,2023-05-08 10:12:02,37.74622099,112.71484788,2.50,798.952,-17.952,0.150,260,32,40,,
T,2023-05-08 10:12:03,37.74621521,112.71485014,2.00,798.952,-17.952,0.160,258,32,40,,
T,2023-05-08 10:12:04,37.74621135,112.71484955,2.50,798.952,-17.952,0.190,257,32,41,,
T,2023-05-08 10:12:05,37.74621307,112.71485014,2.00,797.952,-17.952,0.000,,29,41,,
T,2023-05-08 10:12:06,37.74621307,112.71485014,2.00,797.952,-17.952,0.000,,32,42,,
T,2023-05-08 10:12:07,37.74621307,112.71485014,2.00,797.952,-17.952,0.000,,32,42,,
T,2023-05-08 10:12:08,37.74621307,112.71485014,2.00,797.952,-17.952,0.000,,31,42,,
T,2023-05-08 10:12:09,37.74621307,112.71485014,2.00,797.952,-17.952,0.000,,31,42,,
T,2023-05-08 10:12:10,37.74621307,112.71485014,2.00,797.952,-17.952,0.000,,32,42,,
T,2023-05-08 10:12:11,37.74621307,112.71485014,2.00,797.952,-17.952,0.000,,32,42,,
T,2023-05-08 10:12:12,37.74621307,112.71485014,2.00,797.952,-17.952,0.000,,30,42,,
T,2023-05-08 10:12:13,37.74621307,112.71485014,2.00,797.952,-17.952,0.000,,30,41,,
T,2023-05-08 10:12:14,37.74621307,112.71485014,2.00,797.952,-17.952,0.000,,31,41,,
T,2023-05-08 10:12:15,37.74621307,112.71485014,2.00,797.952,-17.952,0.000,,29,41,,
T,2023-05-08 10:12:16,37.74620796,112.71484897,2.00,798.952,-17.952,0.540,175,32,40,,
T,2023-05-08 10:12:17,37.74620360,112.71485274,1.50,798.952,-17.952,0.410,180,30,42,,
T,2023-05-08 10:12:18,37.74620515,112.71485215,2.00,798.952,-17.952,0.190,181,32,40,,
T,2023-05-08 10:12:19,37.74620921,112.71485232,2.00,798.952,-17.952,0.050,181,30,39,,
T,2023-05-08 10:12:20,37.74620926,112.71485232,2.00,798.952,-17.952,0.000,,30,40,,
T,2023-05-08 10:12:21,37.74620938,112.71485198,2.00,798.952,-17.952,0.000,,30,40,,
T,2023-05-08 10:12:22,37.74620942,112.71485148,2.00,798.952,-17.952,0.000,,31,40,,
T,2023-05-08 10:12:23,37.74620942,112.71485148,2.00,798.952,-17.952,0.000,,31,40,,
T,2023-05-08 10:12:24,37.74620942,112.71485148,2.00,798.952,-17.952,0.000,,31,40,,
T,2023-05-08 10:12:25,37.74620942,112.71485148,2.00,798.952,-17.952,0.000,,30,40,,
T,2023-05-08 10:12:26,37.74620942,112.71485148,2.00,798.952,-17.952,0.000,,31,40,,
T,2023-05-08 10:12:27,37.74620942,112.71485148,2.50,798.952,-17.952,0.000,,30,40,,
T,2023-05-08 10:12:28,37.74620942,112.71485148,2.00,798.952,-17.952,0.000,,30,40,,
T,2023-05-08 10:12:29,37.74620942,112.71485148,2.00,798.952,-17.952,0.000,,31,40,,
T,2023-05-08 10:12:30,37.74620942,112.71485148,2.00,798.952,-17.952,0.000,,31,40,,
T,2023-05-08 10:12:31,37.74620942,112.71485148,2.00,798.952,-17.952,0.000,,30,39,,
T,2023-05-08 10:12:32,37.74620942,112.71485148,2.00,798.952,-17.952,0.000,,28,39,,
T,2023-05-08 10:12:33,37.74620942,112.71485148,2.00,798.952,-17.952,0.000,,31,39,,
