type,date time,latitude,longitude,accuracy(m),altitude(m),geoid_height(m),speed(m/s),bearing(deg),sat_used,sat_inview,name,desc
T,2023-05-08 10:22:39,37.74619593,112.71481485,2.50,805.952,-17.952,0.000,,31,41,20230508-182239,GPS Logger: 20230508-182239
T,2023-05-08 10:22:40,37.74619593,112.71481485,2.00,805.952,-17.952,0.000,,31,41,,
T,2023-05-08 10:22:41,37.74620054,112.71482139,2.00,805.952,-17.952,0.730,0,30,40,,
T,2023-05-08 10:22:42,37.74620586,112.71482181,2.00,803.952,-17.952,0.880,0,31,40,,
T,2023-05-08 10:22:43,37.74620938,112.71482566,2.00,804.952,-17.952,0.460,0,31,41,,
T,2023-05-08 10:22:44,37.74619978,112.71482927,2.00,805.952,-17.952,0.820,0,31,41,,
T,2023-05-08 10:22:45,37.74619668,112.71482483,2.00,805.952,-17.952,0.660,0,31,40,,
T,2023-05-08 10:22:46,37.74619668,112.71482047,2.00,805.952,-17.952,0.310,0,31,40,,
T,2023-05-08 10:22:47,37.74620016,112.71482131,2.00,805.952,-17.952,0.220,0,31,40,,
T,2023-05-08 10:22:48,37.74620180,112.71482633,2.00,804.952,-17.952,0.640,0,31,40,,
T,2023-05-08 10:22:49,37.74620209,112.71483103,2.50,804.952,-17.952,0.740,0,31,40,,
T,2023-05-08 10:22:50,37.74620314,112.71483916,2.50,804.952,-17.952,0.210,0,31,39,,
T,2023-05-08 10:22:51,37.74620247,112.71484025,2.50,802.952,-17.952,0.220,0,31,40,,
T,2023-05-08 10:22:52,37.74619895,112.71483589,2.50,803.952,-17.952,0.390,0,31,40,,
T,2023-05-08 10:22:53,37.74620024,112.71482985,2.00,803.952,-17.952,0.000,,31,40,,
T,2023-05-08 10:22:54,37.74620024,112.71482985,2.00,803.952,-17.952,0.000,,31,40,,
T,2023-05-08 10:22:55,37.74620024,112.71482985,2.00,803.952,-17.952,0.000,,29,40,,
T,2023-05-08 10:22:56,37.74620024,112.71482985,2.00,803.952,-17.952,0.000,,31,40,,
T,2023-05-08 10:22:57,37.74620024,112.71482985,2.00,803.952,-17.952,0.000,,20,40,,
T,2023-05-08 10:22:58,37.74620024,112.71482985,2.00,803.952,-17.952,0.000,,19,39,,
T,2023-05-08 10:22:59,37.74620024,112.71482985,2.00,803.952,-17.952,0.000,,30,39,,
T,2023-05-08 10:23:00,37.74620024,112.71482985,2.00,803.952,-17.952,0.000,,19,39,,
T,2023-05-08 10:23:01,37.74620024,112.71482985,2.00,803.952,-17.952,0.000,,31,39,,
T,2023-05-08 10:23:02,37.74620024,112.71482985,2.00,803.952,-17.952,0.000,,31,38,,
T,2023-05-08 10:23:03,37.74619568,112.71483002,2.00,802.952,-17.952,0.290,0,31,38,,
T,2023-05-08 10:23:04,37.74619631,112.71482768,2.00,802.952,-17.952,0.300,0,30,38,,
T,2023-05-08 10:23:05,37.74619756,112.71482877,2.00,802.952,-17.952,0.330,0,30,38,,
T,2023-05-08 10:23:06,37.74619773,112.71483027,1.50,801.952,-17.952,0.130,0,30,38,,
T,2023-05-08 10:23:07,37.74619735,112.71483019,2.00,801.952,-17.952,0.000,,18,38,,
T,2023-05-08 10:23:08,37.74619735,112.71483019,2.00,801.952,-17.952,0.000,,30,39,,
T,2023-05-08 10:23:09,37.74619735,112.71483019,2.00,801.952,-17.952,0.000,,30,39,,
T,2023-05-08 10:23:10,37.74619735,112.71483019,2.00,801.952,-17.952,0.000,,30,39,,
