type,date time,latitude,longitude,accuracy(m),altitude(m),geoid_height(m),speed(m/s),bearing(deg),sat_used,sat_inview,name,desc
T,2023-05-08 07:54:17,37.74683652,112.71797491,30.00,798.939,-17.939,3.960,123,5,6,20230508-155417,GPS Logger: 20230508-155417
T,2023-05-08 07:54:18,37.74683848,112.71799503,29.00,798.939,-17.939,3.380,115,5,6,,
T,2023-05-08 07:54:19,37.74684372,112.71798137,28.50,797.939,-17.939,2.370,110,5,6,,
T,2023-05-08 07:54:20,37.74684527,112.71798866,27.50,800.939,-17.939,1.500,109,5,6,,
T,2023-05-08 07:54:21,37.74685240,112.71799453,27.00,802.939,-17.939,0.490,107,5,6,,
T,2023-05-08 07:54:22,37.74685454,112.71799738,26.00,805.939,-17.939,0.600,133,5,6,,
T,2023-05-08 07:54:23,37.74685039,112.71798698,30.00,810.939,-17.939,0.890,192,4,5,,
T,2023-05-08 07:54:24,37.74687084,112.71798883,23.00,820.939,-17.939,0.350,208,4,5,,
