type,date time,latitude,longitude,accuracy(m),altitude(m),geoid_height(m),speed(m/s),bearing(deg),sat_used,sat_inview,name,desc
T,2023-05-08 10:01:56.003,37.74683777,112.71520159,7.50,821.950,-17.950,1.420,0,32,44,20230508-180156,GPS Logger: 20230508-180156
T,2023-05-08 10:01:57.006,37.74685898,112.71520813,7.50,833.950,-17.950,0.950,332,32,44,,
T,2023-05-08 10:01:59.005,37.74680890,112.71522800,7.50,834.950,-17.950,0.340,327,31,44,,
T,2023-05-08 10:02:00.004,37.74681535,112.71521484,7.00,837.950,-17.950,0.450,325,32,45,,
T,2023-05-08 10:02:00.992,37.74681020,112.71511492,7.50,835.950,-17.950,0.370,322,32,45,,
T,2023-05-08 10:02:01.990,37.74685579,112.71513110,7.50,819.950,-17.950,1.900,320,31,45,,
T,2023-05-08 10:02:03,37.74685730,112.71513202,5.50,814.950,-17.950,0.840,320,32,45,,
T,2023-05-08 10:02:04,37.74687683,112.71513093,4.00,810.950,-17.950,0.690,320,32,46,,
T,2023-05-08 10:02:05,37.74689175,112.71511576,3.50,809.950,-17.950,0.280,326,31,45,,
T,2023-05-08 10:02:06,37.74689607,112.71510369,3.00,807.950,-17.950,0.680,15,31,45,,
T,2023-05-08 10:02:07,37.74689381,112.71510134,3.00,805.950,-17.950,0.550,47,30,44,,
T,2023-05-08 10:02:08,37.74688245,112.71510503,3.00,803.950,-17.950,0.460,65,30,44,,
T,2023-05-08 10:02:09,37.74688496,112.71510906,3.00,802.950,-17.950,0.310,65,31,43,,
T,2023-05-08 10:02:10,37.74688421,112.71511459,2.50,802.950,-17.950,0.120,65,30,43,,
T,2023-05-08 10:02:11,37.74688404,112.71511434,2.50,802.950,-17.950,0.000,,31,43,,
T,2023-05-08 10:02:12,37.74688660,112.71511358,2.50,802.950,-17.950,0.000,,30,43,,
T,2023-05-08 10:02:13,37.74688660,112.71511358,2.50,802.950,-17.950,0.000,,30,42,,
T,2023-05-08 10:02:14,37.74688660,112.71511358,2.50,802.950,-17.950,0.000,,31,42,,
T,2023-05-08 10:02:15,37.74688660,112.71511358,2.00,802.950,-17.950,0.000,,31,41,,
T,2023-05-08 10:02:16,37.74688660,112.71511358,2.00,802.950,-17.950,0.000,,31,41,,
T,2023-05-08 10:02:17,37.74688660,112.71511358,2.50,802.950,-17.950,0.000,,31,41,,
T,2023-05-08 10:02:18,37.74688660,112.71511358,2.50,802.950,-17.950,0.000,,30,41,,
T,2023-05-08 10:02:19,37.74688660,112.71511358,2.50,802.950,-17.950,0.000,,31,42,,
T,2023-05-08 10:02:20,37.74688660,112.71511358,2.50,802.950,-17.950,0.000,,31,41,,
T,2023-05-08 10:02:21,37.74688660,112.71511358,2.50,802.950,-17.950,0.000,,30,41,,
T,2023-05-08 10:02:22,37.74688660,112.71511358,2.50,802.950,-17.950,0.000,,31,41,,
T,2023-05-08 10:02:23,37.74688660,112.71511358,2.50,802.950,-17.950,0.000,,30,41,,
T,2023-05-08 10:02:24,37.74688660,112.71511358,2.00,802.950,-17.950,0.000,,31,41,,
T,2023-05-08 10:02:25,37.74688660,112.71511358,2.00,802.950,-17.950,0.000,,31,41,,
T,2023-05-08 10:02:26,37.74688660,112.71511358,2.50,802.950,-17.950,0.000,,31,41,,
T,2023-05-08 10:02:27,37.74688660,112.71511358,2.00,802.950,-17.950,0.000,,30,41,,
T,2023-05-08 10:02:28,37.74688660,112.71511358,2.00,802.950,-17.950,0.000,,31,41,,
T,2023-05-08 10:02:29,37.74688660,112.71511358,2.00,802.950,-17.950,0.000,,31,41,,
T,2023-05-08 10:02:30,37.74688178,112.71512398,2.00,802.950,-17.950,0.670,65,31,41,,
T,2023-05-08 10:02:31,37.74687645,112.71512775,2.00,802.950,-17.950,0.210,65,30,41,,
T,2023-05-08 10:02:32,37.74687759,112.71513504,2.00,802.950,-17.950,0.190,65,30,41,,
T,2023-05-08 10:02:33,37.74687813,112.71513571,1.50,802.950,-17.950,0.390,65,30,41,,
T,2023-05-08 10:02:34,37.74687897,112.71513504,2.00,802.950,-17.950,0.000,,30,41,,
T,2023-05-08 10:02:35,37.74687897,112.71513504,2.00,802.950,-17.950,0.000,,30,41,,
T,2023-05-08 10:02:36,37.74687897,112.71513504,2.00,802.950,-17.950,0.000,,29,41,,
T,2023-05-08 10:02:37,37.74687897,112.71513504,2.00,802.950,-17.950,0.000,,30,41,,
T,2023-05-08 10:02:38,37.74687361,112.71513814,1.50,802.950,-17.950,0.480,65,32,39,,
T,2023-05-08 10:02:39,37.74687008,112.71514040,2.00,801.950,-17.950,0.130,65,32,39,,
T,2023-05-08 10:02:40,37.74687050,112.71514543,1.50,801.950,-17.950,0.490,65,32,39,,
T,2023-05-08 10:02:41,37.74687407,112.71514610,1.50,800.950,-17.950,0.530,65,32,39,,
T,2023-05-08 10:02:42,37.74687784,112.71514476,1.50,801.950,-17.950,0.900,65,32,39,,
T,2023-05-08 10:02:43,37.74688224,112.71514652,1.50,800.950,-17.950,0.500,65,31,39,,
T,2023-05-08 10:02:44,37.74688400,112.71515063,1.50,800.950,-17.950,0.410,65,30,39,,
T,2023-05-08 10:02:45,37.74688614,112.71515264,1.50,800.950,-17.950,0.760,65,31,39,,
T,2023-05-08 10:02:46,37.74688773,112.71515180,2.00,800.950,-17.950,0.270,65,31,39,,
T,2023-05-08 10:02:47,37.74688471,112.71514803,2.00,800.950,-17.950,0.510,65,31,39,,
T,2023-05-08 10:02:48,37.74688521,112.71514795,2.00,800.950,-17.950,0.010,65,31,39,,
T,2023-05-08 10:02:49,37.74688266,112.71514418,1.50,799.950,-17.950,0.480,65,31,39,,
T,2023-05-08 10:02:50,37.74688182,112.71514242,1.50,799.950,-17.950,0.360,65,31,39,,
T,2023-05-08 10:02:51,37.74688044,112.71514501,2.00,799.950,-17.950,0.370,65,32,40,,
T,2023-05-08 10:02:52,37.74688052,112.71514619,2.00,799.950,-17.950,0.150,65,31,40,,
T,2023-05-08 10:02:53,37.74688375,112.71514744,2.00,799.950,-17.950,0.450,65,30,40,,
T,2023-05-08 10:02:54,37.74687503,112.71514166,2.00,800.950,-17.950,1.250,65,30,40,,
T,2023-05-08 10:02:55,37.74686506,112.71513973,2.00,800.950,-17.950,1.090,65,31,40,,
T,2023-05-08 10:02:56,37.74685688,112.71514007,1.50,800.950,-17.950,0.280,65,32,41,,
T,2023-05-08 10:02:57,37.74684846,112.71513764,1.50,800.950,-17.950,1.940,157,32,41,,
T,2023-05-08 10:02:59,37.74684129,112.71513118,1.50,799.950,-17.950,0.480,160,32,41,,
