type,date time,latitude,longitude,accuracy(m),altitude(m),geoid_height(m),speed(m/s),bearing(deg),sat_used,sat_inview,name,desc
T,2023-05-08 09:51:06,37.74690173,112.71510713,2.00,799.950,-17.950,0.210,0,31,42,20230508-175106,GPS Logger: 20230508-175106
T,2023-05-08 09:51:07,37.74690315,112.71510344,2.00,799.950,-17.950,0.000,,31,41,,
T,2023-05-08 09:51:08,37.74690315,112.71510344,2.00,799.950,-17.950,0.000,,31,42,,
T,2023-05-08 09:51:09,37.74690332,112.71509388,2.00,799.950,-17.950,1.410,0,31,42,,
T,2023-05-08 09:51:10,37.74690365,112.71509120,2.00,799.950,-17.950,0.900,0,31,43,,
T,2023-05-08 09:51:11,37.74690655,112.71510126,2.00,799.950,-17.950,0.460,0,31,42,,
T,2023-05-08 09:51:12,37.74690546,112.71511124,2.00,800.950,-17.950,0.950,0,31,42,,
T,2023-05-08 09:51:13,37.74690127,112.71510780,2.50,799.950,-17.950,0.770,0,31,42,,
T,2023-05-08 09:51:14,37.74690227,112.71510202,2.00,799.950,-17.950,0.780,0,31,42,,
T,2023-05-08 09:51:15,37.74690571,112.71510495,2.00,798.950,-17.950,0.700,0,32,42,,
T,2023-05-08 09:51:16,37.74691145,112.71510763,2.00,798.950,-17.950,0.600,0,31,42,,
T,2023-05-08 09:51:17,37.74691463,112.71510663,2.00,798.950,-17.950,0.370,0,31,42,,
T,2023-05-08 09:51:18,37.74691715,112.71509992,2.00,798.950,-17.950,0.110,0,31,42,,
T,2023-05-08 09:51:19,37.74691857,112.71509724,2.00,798.950,-17.950,0.000,,31,42,,
T,2023-05-08 09:51:20,37.74691489,112.71510713,2.00,798.950,-17.950,1.010,0,31,42,,
T,2023-05-08 09:51:21,37.74691371,112.71511895,2.00,798.950,-17.950,0.990,0,31,42,,
T,2023-05-08 09:51:22,37.74691707,112.71512465,2.00,798.950,-17.950,0.930,0,31,42,,
T,2023-05-08 09:51:23,37.74691631,112.71512917,2.00,797.950,-17.950,0.180,0,31,43,,
T,2023-05-08 09:51:24,37.74691619,112.71512917,2.00,797.950,-17.950,0.010,0,31,43,,
T,2023-05-08 09:51:25,37.74691623,112.71512917,2.00,797.950,-17.950,0.000,,32,43,,
T,2023-05-08 09:51:26,37.74691313,112.71512783,2.00,797.950,-17.950,0.000,,31,43,,
T,2023-05-08 09:51:27,37.74691313,112.71512783,2.00,797.950,-17.950,0.000,,31,43,,
T,2023-05-08 09:51:28,37.74691313,112.71512783,2.00,797.950,-17.950,0.000,,32,43,,
T,2023-05-08 09:51:29,37.74691313,112.71512783,2.00,797.950,-17.950,0.000,,30,43,,
T,2023-05-08 09:51:30,37.74691313,112.71512783,2.00,797.950,-17.950,0.000,,31,43,,
T,2023-05-08 09:51:31,37.74691313,112.71512783,2.00,797.950,-17.950,0.000,,31,43,,
T,2023-05-08 09:51:32,37.74691313,112.71512783,2.00,797.950,-17.950,0.000,,31,43,,
T,2023-05-08 09:51:33,37.74691313,112.71512783,2.00,797.950,-17.950,0.000,,31,43,,
T,2023-05-08 09:51:34,37.74691313,112.71512783,2.00,797.950,-17.950,0.000,,32,43,,
T,2023-05-08 09:51:35,37.74691313,112.71512783,2.00,797.950,-17.950,0.000,,32,43,,
T,2023-05-08 09:51:36,37.74691313,112.71512783,2.00,797.950,-17.950,0.000,,32,43,,
T,2023-05-08 09:51:37,37.74691313,112.71512783,2.00,797.950,-17.950,0.000,,31,43,,
T,2023-05-08 09:51:38,37.74691313,112.71512783,2.00,797.950,-17.950,0.000,,32,43,,
