type,date time,latitude,longitude,accuracy(m),altitude(m),geoid_height(m),speed(m/s),bearing(deg),sat_used,sat_inview,name,desc
T,2023-05-08 09:42:43,37.74680751,112.71647003,1.50,807.945,-17.945,0.000,,32,40,20230508-174243,GPS Logger: 20230508-174243
T,2023-05-08 09:42:44,37.74680596,112.71647480,2.00,807.945,-17.945,0.060,170,31,39,,
T,2023-05-08 09:42:45,37.74680580,112.71647522,2.00,807.945,-17.945,0.000,,32,40,,
T,2023-05-08 09:42:46,37.74679934,112.71647933,1.50,807.945,-17.945,0.060,170,30,41,,
T,2023-05-08 09:42:47,37.74679276,112.71648444,2.00,807.945,-17.945,0.050,170,31,40,,
T,2023-05-08 09:42:48,37.74678765,112.71648788,1.50,807.945,-17.945,0.020,170,30,40,,
T,2023-05-08 09:42:49,37.74678467,112.71649450,1.50,806.945,-17.945,0.400,144,30,40,,
T,2023-05-08 09:42:50,37.74678501,112.71650037,1.50,806.945,-17.945,0.400,123,32,41,,
T,2023-05-08 09:42:51,37.74678325,112.71650464,1.50,805.945,-17.945,0.270,117,31,41,,
T,2023-05-08 09:42:52,37.74678010,112.71650699,1.50,805.945,-17.945,0.160,116,31,41,,
T,2023-05-08 09:42:53,37.74678052,112.71650582,1.50,804.945,-17.945,0.000,,32,40,,
T,2023-05-08 09:42:54,37.74678052,112.71650582,1.50,804.945,-17.945,0.000,,30,41,,
T,2023-05-08 09:42:55,37.74678052,112.71650582,1.50,804.945,-17.945,0.000,,30,41,,
T,2023-05-08 09:42:56,37.74678052,112.71650582,1.50,804.945,-17.945,0.000,,30,41,,
T,2023-05-08 09:42:57,37.74678652,112.71650825,1.50,803.945,-17.945,0.590,14,30,41,,
T,2023-05-08 09:42:58,37.74679067,112.71651026,1.50,803.945,-17.945,0.800,1,31,41,,
T,2023-05-08 09:42:59,37.74679637,112.71651504,1.50,804.945,-17.945,0.940,18,31,41,,
T,2023-05-08 09:43:00,37.74680035,112.71652375,1.50,804.945,-17.945,0.740,41,31,41,,
T,2023-05-08 09:43:01,37.74680307,112.71653130,1.50,804.945,-17.945,0.180,50,30,41,,
T,2023-05-08 09:43:02,37.74680211,112.71653264,2.00,804.945,-17.945,0.860,181,30,41,,
T,2023-05-08 09:43:03,37.74680051,112.71653247,1.50,804.945,-17.945,0.090,217,30,41,,
T,2023-05-08 09:43:04,37.74680504,112.71653314,2.00,804.945,-17.945,0.950,30,31,41,,
T,2023-05-08 09:43:05,37.74680668,112.71654295,1.50,804.945,-17.945,0.720,91,31,40,,
T,2023-05-08 09:43:06,37.74680718,112.71654965,1.50,805.945,-17.945,0.690,105,32,40,,
T,2023-05-08 09:43:07,37.74680743,112.71655661,1.50,805.945,-17.945,0.470,144,32,40,,
T,2023-05-08 09:43:08,37.74680651,112.71656122,1.50,805.945,-17.945,0.350,185,30,40,,
T,2023-05-08 09:43:09,37.74680726,112.71656575,1.50,805.945,-17.945,0.280,230,32,40,,
