type,date time,latitude,longitude,accuracy(m),altitude(m),geoid_height(m),speed(m/s),bearing(deg),sat_used,sat_inview,name,desc
T,2023-05-08 09:42:43.011,37.74676000,112.71646000,2.30,832.445,-17.945,0.568,222,31,66,20230508-174243,GPS Logger: 20230508-174243
T,2023-05-08 09:42:44.011,37.74675000,112.71645000,2.00,832.345,-17.945,0.253,222,32,66,,
T,2023-05-08 09:42:46,37.74675000,112.71645000,1.90,832.645,-17.945,0.190,222,33,66,,
T,2023-05-08 09:42:47,37.74675000,112.71645000,1.80,832.945,-17.945,0.126,222,33,66,,
T,2023-05-08 09:42:48,37.74675000,112.71645000,1.70,832.945,-17.945,0.117,222,38,66,,
T,2023-05-08 09:42:49,37.74676000,112.71645000,1.70,833.045,-17.945,0.106,222,39,66,,
T,2023-05-08 09:42:50,37.74676000,112.71645000,1.60,833.245,-17.945,0.243,222,39,66,,
T,2023-05-08 09:42:51,37.74675000,112.71644000,1.60,833.145,-17.945,0.230,222,38,66,,
T,2023-05-08 09:42:52,37.74675000,112.71644000,1.50,833.045,-17.945,0.106,238,39,66,,
T,2023-05-08 09:42:53,37.74675000,112.71644000,1.50,832.945,-17.945,0.249,166,39,66,,
T,2023-05-08 09:42:54,37.74675000,112.71644000,1.50,832.945,-17.945,0.230,171,39,66,,
T,2023-05-08 09:42:55,37.74675000,112.71643000,1.50,832.945,-17.945,0.088,241,39,66,,
T,2023-05-08 09:42:56,37.74675000,112.71644000,1.40,832.745,-17.945,0.046,289,39,66,,
T,2023-05-08 09:42:57,37.74675000,112.71644000,1.40,832.645,-17.945,0.069,183,39,66,,
T,2023-05-08 09:42:58,37.74675000,112.71644000,1.40,832.545,-17.945,0.094,140,39,66,,
T,2023-05-08 09:42:59,37.74675000,112.71644000,1.40,832.545,-17.945,0.119,131,39,66,,
T,2023-05-08 09:43:00,37.74675000,112.71645000,1.40,832.445,-17.945,0.110,202,39,66,,
T,2023-05-08 09:43:01,37.74675000,112.71645000,1.40,832.445,-17.945,0.098,122,39,66,,
T,2023-05-08 09:43:02,37.74675000,112.71645000,1.40,832.345,-17.945,0.078,29,38,66,,
T,2023-05-08 09:43:03,37.74675000,112.71646000,1.40,832.245,-17.945,0.072,60,39,66,,
T,2023-05-08 09:43:04,37.74675000,112.71646000,1.40,832.245,-17.945,0.069,348,39,66,,
T,2023-05-08 09:43:05,37.74675000,112.71646000,1.40,832.145,-17.945,0.072,74,39,66,,
T,2023-05-08 09:43:06,37.74675000,112.71645000,1.40,832.145,-17.945,0.075,107,39,66,,
T,2023-05-08 09:43:07,37.74675000,112.71646000,1.40,832.045,-17.945,0.082,78,40,66,,
T,2023-05-08 09:43:08,37.74675000,112.71646000,1.40,831.945,-17.945,0.079,113,41,66,,
T,2023-05-08 09:43:09,37.74675000,112.71646000,1.30,831.845,-17.945,0.067,164,41,66,,
T,2023-05-08 09:43:10,37.74675000,112.71646000,1.30,831.645,-17.945,0.090,70,40,66,,
T,2023-05-08 09:43:11,37.74676000,112.71646000,1.30,831.345,-17.945,0.000,,40,66,,
T,2023-05-08 09:43:12,37.74676000,112.71646000,1.30,831.245,-17.945,0.000,,39,66,,
T,2023-05-08 09:43:13,37.74676000,112.71646000,1.30,831.045,-17.945,0.000,,40,66,,
T,2023-05-08 09:43:14,37.74676000,112.71646000,1.30,831.045,-17.945,0.000,,41,66,,
T,2023-05-08 09:43:15,37.74676000,112.71646000,1.30,831.045,-17.945,0.000,,41,66,,
T,2023-05-08 09:43:16,37.74676000,112.71646000,1.30,831.045,-17.945,0.000,,41,66,,
T,2023-05-08 09:43:17,37.74676000,112.71646000,1.30,831.045,-17.945,0.000,,40,66,,
T,2023-05-08 09:43:18,37.74676000,112.71646000,1.30,831.045,-17.945,0.000,,41,66,,
T,2023-05-08 09:43:19,37.74676000,112.71646000,1.30,831.045,-17.945,0.000,,41,66,,
T,2023-05-08 09:43:20,37.74676000,112.71646000,1.30,831.045,-17.945,0.000,,41,66,,
T,2023-05-08 09:43:21,37.74676000,112.71646000,1.30,831.045,-17.945,0.000,,41,67,,
