type,date time,latitude,longitude,accuracy(m),altitude(m),geoid_height(m),speed(m/s),bearing(deg),sat_used,sat_inview,name,desc
T,2023-05-08 10:07:37,37.74682000,112.71515000,1.20,810.650,-17.950,0.000,,54,67,20230508-180737,GPS Logger: 20230508-180737
T,2023-05-08 10:07:38,37.74682000,112.71515000,1.20,810.650,-17.950,0.000,,54,67,,
T,2023-05-08 10:07:39,37.74682000,112.71515000,1.20,810.650,-17.950,0.000,,54,67,,
T,2023-05-08 10:07:40,37.74682000,112.71515000,1.20,810.650,-17.950,0.000,,54,67,,
T,2023-05-08 10:07:41,37.74682000,112.71515000,1.20,810.650,-17.950,0.000,,53,67,,
T,2023-05-08 10:07:42,37.74682000,112.71515000,1.20,810.650,-17.950,0.000,,53,67,,
T,2023-05-08 10:07:43,37.74682000,112.71515000,1.20,810.650,-17.950,0.000,,52,67,,
T,2023-05-08 10:07:44,37.74682000,112.71515000,1.30,810.650,-17.950,0.000,,52,67,,
T,2023-05-08 10:07:45,37.74682000,112.71515000,1.30,810.650,-17.950,0.000,,52,67,,
T,2023-05-08 10:07:46,37.74682000,112.71515000,1.20,810.650,-17.950,0.000,,52,67,,
T,2023-05-08 10:07:47,37.74682000,112.71515000,1.20,810.650,-17.950,0.000,,53,67,,
T,2023-05-08 10:07:48,37.74682000,112.71515000,1.20,810.650,-17.950,0.000,,53,67,,
T,2023-05-08 10:07:49,37.74682000,112.71515000,1.20,810.650,-17.950,0.000,,51,67,,
T,2023-05-08 10:07:50,37.74682000,112.71515000,1.20,810.650,-17.950,0.000,,51,68,,
T,2023-05-08 10:07:51,37.74682000,112.71515000,1.20,810.650,-17.950,0.000,,51,68,,
T,2023-05-08 10:07:52,37.74682000,112.71515000,1.20,810.650,-17.950,0.000,,51,69,,
T,2023-05-08 10:07:53,37.74682000,112.71515000,1.20,810.650,-17.950,0.000,,51,69,,
T,2023-05-08 10:07:54,37.74682000,112.71515000,1.20,810.650,-17.950,0.000,,52,69,,
T,2023-05-08 10:07:55,37.74682000,112.71515000,1.20,810.650,-17.950,0.000,,52,69,,
T,2023-05-08 10:07:56,37.74682000,112.71515000,1.20,810.650,-17.950,0.000,,52,69,,
T,2023-05-08 10:07:57,37.74682000,112.71515000,1.20,810.650,-17.950,0.000,,52,69,,
T,2023-05-08 10:07:58,37.74682000,112.71515000,1.20,810.650,-17.950,0.000,,52,69,,
T,2023-05-08 10:07:59,37.74682000,112.71515000,1.20,810.650,-17.950,0.000,,52,69,,
T,2023-05-08 10:08:00,37.74682000,112.71515000,1.20,810.650,-17.950,0.000,,52,69,,
T,2023-05-08 10:08:01,37.74682000,112.71515000,1.20,810.650,-17.950,0.000,,53,69,,
T,2023-05-08 10:08:02,37.74682000,112.71515000,1.20,810.650,-17.950,0.000,,53,69,,
T,2023-05-08 10:08:03,37.74682000,112.71515000,1.20,810.650,-17.950,0.000,,53,69,,
T,2023-05-08 10:08:04,37.74682000,112.71515000,1.20,810.650,-17.950,0.000,,52,69,,
T,2023-05-08 10:08:05,37.74682000,112.71515000,1.20,810.650,-17.950,0.000,,53,69,,
T,2023-05-08 10:08:06,37.74681000,112.71514000,1.30,810.650,-17.950,0.180,194,52,69,,
T,2023-05-08 10:08:07,37.74680000,112.71514000,1.30,810.650,-17.950,0.238,145,52,69,,
T,2023-05-08 10:08:08,37.74680000,112.71514000,1.40,810.450,-17.950,0.295,165,53,69,,
T,2023-05-08 10:08:09,37.74679000,112.71514000,1.40,810.250,-17.950,0.352,172,54,69,,
T,2023-05-08 10:08:10,37.74678000,112.71515000,1.40,810.350,-17.950,0.412,182,54,69,,
T,2023-05-08 10:08:11,37.74677000,112.71515000,1.40,810.250,-17.950,0.485,170,54,69,,
T,2023-05-08 10:08:12,37.74676000,112.71515000,1.40,810.250,-17.950,0.574,170,54,69,,
T,2023-05-08 10:08:13,37.74676000,112.71515000,1.40,810.150,-17.950,0.647,176,53,69,,
T,2023-05-08 10:08:14,37.74675000,112.71515000,1.40,810.250,-17.950,0.696,196,54,69,,
T,2023-05-08 10:08:15,37.74674000,112.71515000,1.40,810.250,-17.950,0.722,167,54,69,,
T,2023-05-08 10:08:16,37.74673000,112.71515000,1.40,810.350,-17.950,0.732,159,54,69,,
T,2023-05-08 10:08:17,37.74673000,112.71515000,1.40,810.350,-17.950,0.740,166,54,69,,
T,2023-05-08 10:08:18,37.74672000,112.71515000,1.40,810.350,-17.950,0.732,173,54,69,,
T,2023-05-08 10:08:19,37.74671000,112.71515000,1.40,810.150,-17.950,0.732,184,54,69,,
T,2023-05-08 10:08:20,37.74670000,112.71515000,1.40,810.050,-17.950,0.749,173,54,69,,
T,2023-05-08 10:08:21,37.74670000,112.71516000,1.40,810.150,-17.950,0.756,171,54,69,,
T,2023-05-08 10:08:22,37.74669000,112.71515000,1.40,810.150,-17.950,0.728,171,54,69,,
T,2023-05-08 10:08:23,37.74668000,112.71515000,1.30,810.350,-17.950,0.698,160,54,69,,
T,2023-05-08 10:08:24,37.74668000,112.71516000,1.30,810.350,-17.950,0.667,167,54,69,,
T,2023-05-08 10:08:25,37.74668000,112.71516000,1.30,810.350,-17.950,0.654,188,54,69,,
