type,date time,latitude,longitude,accuracy(m),altitude(m),geoid_height(m),speed(m/s),bearing(deg),sat_used,sat_inview,name,desc
T,2023-05-08 10:10:22,37.74652000,112.71483000,1.20,809.352,-17.952,0.000,,51,69,20230508-181022,GPS Logger: 20230508-181022
T,2023-05-08 10:10:23,37.74652000,112.71483000,1.20,809.352,-17.952,0.000,,51,69,,
T,2023-05-08 10:10:24,37.74652000,112.71483000,1.30,809.352,-17.952,0.000,,52,69,,
T,2023-05-08 10:10:25,37.74652000,112.71483000,1.20,809.352,-17.952,0.000,,52,69,,
T,2023-05-08 10:10:26,37.74652000,112.71483000,1.20,809.352,-17.952,0.000,,52,69,,
T,2023-05-08 10:10:27,37.74652000,112.71483000,1.20,809.352,-17.952,0.000,,52,69,,
T,2023-05-08 10:10:28,37.74652000,112.71483000,1.20,809.352,-17.952,0.000,,49,69,,
T,2023-05-08 10:10:29,37.74652000,112.71483000,1.30,809.352,-17.952,0.000,,48,69,,
T,2023-05-08 10:10:30,37.74652000,112.71483000,1.30,809.352,-17.952,0.000,,49,68,,
T,2023-05-08 10:10:31,37.74652000,112.71483000,1.30,809.352,-17.952,0.000,,48,68,,
T,2023-05-08 10:10:32,37.74652000,112.71483000,1.30,809.352,-17.952,0.000,,49,68,,
T,2023-05-08 10:10:33,37.74652000,112.71483000,1.30,809.352,-17.952,0.000,,48,69,,
T,2023-05-08 10:10:34,37.74652000,112.71483000,1.30,809.352,-17.952,0.000,,51,69,,
T,2023-05-08 10:10:35,37.74652000,112.71483000,1.30,809.352,-17.952,0.000,,51,68,,
T,2023-05-08 10:10:36,37.74652000,112.71483000,1.30,809.352,-17.952,0.000,,49,68,,
T,2023-05-08 10:10:37,37.74652000,112.71483000,1.30,809.352,-17.952,0.000,,51,69,,
T,2023-05-08 10:10:38,37.74651000,112.71481000,1.30,812.352,-17.952,0.271,217,52,69,,
T,2023-05-08 10:10:39,37.74650000,112.71481000,1.30,812.552,-17.952,0.313,220,52,69,,
T,2023-05-08 10:10:40,37.74650000,112.71481000,1.30,812.652,-17.952,0.340,158,51,69,,
T,2023-05-08 10:10:41,37.74650000,112.71481000,1.30,812.752,-17.952,0.000,,53,69,,
T,2023-05-08 10:10:42,37.74650000,112.71481000,1.30,812.952,-17.952,0.000,,52,69,,
T,2023-05-08 10:10:43,37.74650000,112.71481000,1.30,812.852,-17.952,0.000,,51,69,,
T,2023-05-08 10:10:44,37.74650000,112.71481000,1.20,812.852,-17.952,0.000,,52,69,,
T,2023-05-08 10:10:45,37.74650000,112.71481000,1.20,812.852,-17.952,0.000,,52,69,,
T,2023-05-08 10:10:46,37.74650000,112.71481000,1.20,812.852,-17.952,0.000,,53,69,,
T,2023-05-08 10:10:47,37.74648000,112.71481000,1.30,812.652,-17.952,0.413,208,53,69,,
T,2023-05-08 10:10:48,37.74647000,112.71481000,1.40,812.452,-17.952,0.471,194,53,69,,
T,2023-05-08 10:10:49,37.74646000,112.71481000,1.40,812.352,-17.952,0.538,190,53,69,,
T,2023-05-08 10:10:50,37.74644000,112.71481000,1.40,812.052,-17.952,0.628,180,53,69,,
T,2023-05-08 10:10:51,37.74643000,112.71481000,1.40,811.852,-17.952,0.744,169,53,69,,
T,2023-05-08 10:10:52,37.74642000,112.71481000,1.40,811.752,-17.952,0.854,178,53,69,,
T,2023-05-08 10:10:53,37.74641000,112.71481000,1.40,811.852,-17.952,0.985,173,52,69,,
T,2023-05-08 10:10:54,37.74640000,112.71481000,1.40,811.652,-17.952,1.141,181,52,69,,
T,2023-05-08 10:10:55,37.74639000,112.71480000,1.50,811.752,-17.952,1.266,180,52,69,,
T,2023-05-08 10:10:56,37.74638000,112.71480000,1.50,811.652,-17.952,1.321,190,52,69,,
T,2023-05-08 10:10:57,37.74637000,112.71480000,1.40,811.952,-17.952,1.287,218,53,69,,
T,2023-05-08 10:10:58,37.74636000,112.71480000,1.40,812.252,-17.952,1.231,202,53,69,,
T,2023-05-08 10:10:59,37.74635000,112.71480000,1.40,812.452,-17.952,1.158,210,53,69,,
T,2023-05-08 10:11:00,37.74634000,112.71480000,1.30,812.652,-17.952,1.079,197,52,69,,
T,2023-05-08 10:11:01,37.74633000,112.71481000,1.30,812.852,-17.952,1.011,178,51,69,,
T,2023-05-08 10:11:02,37.74632000,112.71481000,1.40,813.052,-17.952,1.016,169,51,69,,
T,2023-05-08 10:11:03,37.74630000,112.71481000,1.40,813.052,-17.952,1.013,160,51,69,,
T,2023-05-08 10:11:04,37.74628000,112.71482000,1.40,813.152,-17.952,1.001,150,52,69,,
T,2023-05-08 10:11:05,37.74627000,112.71482000,1.50,813.252,-17.952,1.025,151,50,69,,
T,2023-05-08 10:11:06,37.74625000,112.71483000,1.50,812.952,-17.952,1.062,156,50,69,,
T,2023-05-08 10:11:07,37.74624000,112.71483000,1.50,812.652,-17.952,1.064,202,50,68,,
T,2023-05-08 10:11:08,37.74624000,112.71483000,1.40,812.452,-17.952,1.090,193,50,68,,
T,2023-05-08 10:11:09,37.74623000,112.71482000,1.40,812.452,-17.952,1.118,198,52,69,,
T,2023-05-08 10:11:10,37.74622000,112.71482000,1.40,812.552,-17.952,1.134,209,52,69,,
T,2023-05-08 10:11:11,37.74622000,112.71482000,1.40,812.652,-17.952,1.091,180,52,69,,
T,2023-05-08 10:11:12,37.74621000,112.71482000,1.40,812.852,-17.952,0.991,241,53,69,,
T,2023-05-08 10:11:13,37.74621000,112.71482000,1.30,812.952,-17.952,0.899,275,53,69,,
T,2023-05-08 10:11:14,37.74621000,112.71482000,1.30,812.652,-17.952,0.808,281,52,69,,
T,2023-05-08 10:11:15,37.74621000,112.71481000,1.40,812.352,-17.952,0.749,284,53,68,,
T,2023-05-08 10:11:16,37.74621000,112.71479000,1.40,812.152,-17.952,0.790,242,53,68,,
T,2023-05-08 10:11:17,37.74620000,112.71478000,1.50,812.152,-17.952,0.900,239,52,68,,
T,2023-05-08 10:11:18,37.74620000,112.71478000,1.50,812.352,-17.952,0.886,257,52,68,,
T,2023-05-08 10:11:19,37.74620000,112.71478000,1.40,812.052,-17.952,0.849,319,52,68,,
T,2023-05-08 10:11:20,37.74620000,112.71477000,1.40,812.052,-17.952,0.814,235,51,68,,
T,2023-05-08 10:11:21,37.74620000,112.71476000,1.40,811.952,-17.952,0.850,228,51,68,,
T,2023-05-08 10:11:22,37.74619000,112.71476000,1.40,811.752,-17.952,0.853,178,51,68,,
T,2023-05-08 10:11:23,37.74619000,112.71476000,1.40,811.552,-17.952,0.834,258,51,68,,
T,2023-05-08 10:11:24,37.74619000,112.71476000,1.30,811.452,-17.952,0.810,259,52,68,,
T,2023-05-08 10:11:25,37.74619000,112.71475000,1.30,811.152,-17.952,0.757,295,51,68,,
