type,date time,latitude,longitude,accuracy(m),altitude(m),geoid_height(m),speed(m/s),bearing(deg),sat_used,sat_inview,name,desc
T,2023-05-08 10:01:56,37.74683000,112.71505000,1.40,825.951,-17.951,0.087,110,50,67,20230508-180156,GPS Logger: 20230508-180156
T,2023-05-08 10:01:57.006,37.74685000,112.71507000,1.40,820.051,-17.951,0.109,19,50,67,,
T,2023-05-08 10:01:58,37.74685000,112.71507000,1.40,819.451,-17.951,0.119,13,48,67,,
T,2023-05-08 10:01:59,37.74686000,112.71507000,1.40,818.451,-17.951,0.068,57,49,67,,
T,2023-05-08 10:02:00,37.74686000,112.71508000,1.40,817.550,-17.950,0.080,82,50,67,,
T,2023-05-08 10:02:01,37.74686000,112.71508000,1.30,816.850,-17.950,0.414,110,50,67,,
T,2023-05-08 10:02:02,37.74686000,112.71509000,1.40,816.150,-17.950,0.338,132,51,67,,
T,2023-05-08 10:02:03,37.74686000,112.71509000,1.30,815.650,-17.950,0.295,148,51,67,,
T,2023-05-08 10:02:04,37.74685000,112.71509000,1.30,815.250,-17.950,0.238,157,51,67,,
T,2023-05-08 10:02:05,37.74685000,112.71509000,1.30,814.850,-17.950,0.095,156,52,67,,
T,2023-05-08 10:02:06,37.74685000,112.71509000,1.30,814.550,-17.950,0.366,65,52,67,,
T,2023-05-08 10:02:07,37.74686000,112.71509000,1.30,814.350,-17.950,0.736,23,52,67,,
T,2023-05-08 10:02:08,37.74686000,112.71509000,1.30,814.050,-17.950,0.384,21,53,67,,
T,2023-05-08 10:02:09,37.74686000,112.71509000,1.30,813.650,-17.950,0.072,93,52,67,,
T,2023-05-08 10:02:10,37.74685000,112.71508000,1.30,813.351,-17.951,0.891,261,53,67,,
T,2023-05-08 10:02:11,37.74685000,112.71507000,1.30,812.951,-17.951,0.461,269,53,67,,
T,2023-05-08 10:02:12,37.74685000,112.71506000,1.40,812.551,-17.951,0.445,20,51,67,,
T,2023-05-08 10:02:13,37.74685000,112.71506000,1.40,812.251,-17.951,0.439,19,52,67,,
T,2023-05-08 10:02:14,37.74685000,112.71506000,1.30,812.051,-17.951,0.435,38,51,67,,
T,2023-05-08 10:02:15,37.74685000,112.71506000,1.30,811.951,-17.951,0.435,35,51,67,,
T,2023-05-08 10:02:16,37.74685000,112.71506000,1.30,811.751,-17.951,0.406,30,50,67,,
T,2023-05-08 10:02:17,37.74685000,112.71507000,1.30,811.551,-17.951,0.334,267,50,67,,
T,2023-05-08 10:02:18,37.74685000,112.71507000,1.30,811.451,-17.951,0.298,80,51,67,,
T,2023-05-08 10:02:19,37.74685000,112.71507000,1.30,811.251,-17.951,0.293,155,52,67,,
T,2023-05-08 10:02:20,37.74685000,112.71507000,1.20,811.151,-17.951,0.209,101,54,67,,
T,2023-05-08 10:02:21,37.74685000,112.71507000,1.20,810.951,-17.951,0.093,40,54,67,,
T,2023-05-08 10:02:22,37.74685000,112.71507000,1.20,810.751,-17.951,0.000,,53,67,,
T,2023-05-08 10:02:23,37.74685000,112.71507000,1.20,810.551,-17.951,0.000,,53,67,,
T,2023-05-08 10:02:24,37.74685000,112.71507000,1.20,810.451,-17.951,0.000,,53,67,,
T,2023-05-08 10:02:25,37.74685000,112.71507000,1.20,810.451,-17.951,0.000,,53,67,,
T,2023-05-08 10:02:26,37.74685000,112.71507000,1.20,810.451,-17.951,0.000,,53,67,,
T,2023-05-08 10:02:27,37.74685000,112.71507000,1.20,810.451,-17.951,0.000,,54,67,,
T,2023-05-08 10:02:28,37.74685000,112.71507000,1.20,810.451,-17.951,0.000,,54,67,,
T,2023-05-08 10:02:29,37.74685000,112.71507000,1.20,810.451,-17.951,0.000,,53,67,,
T,2023-05-08 10:02:30,37.74685000,112.71507000,1.20,810.451,-17.951,0.000,,53,67,,
T,2023-05-08 10:02:31,37.74685000,112.71507000,1.20,810.451,-17.951,0.000,,52,67,,
T,2023-05-08 10:02:32,37.74685000,112.71507000,1.20,810.451,-17.951,0.000,,52,67,,
T,2023-05-08 10:02:33,37.74685000,112.71507000,1.20,810.451,-17.951,0.000,,51,67,,
T,2023-05-08 10:02:34,37.74685000,112.71507000,1.20,810.451,-17.951,0.000,,52,67,,
