type,date time,latitude,longitude,accuracy(m),altitude(m),geoid_height(m),speed(m/s),bearing(deg),sat_used,sat_inview,name,desc
T,2023-05-08 10:22:36.003,37.74620000,112.71481000,1.70,809.552,-17.952,0.057,152,46,66,20230508-182236,GPS Logger: 20230508-182236
T,2023-05-08 10:22:37,37.74620000,112.71481000,1.70,809.552,-17.952,0.106,4,45,66,,
T,2023-05-08 10:22:38,37.74619000,112.71480000,1.70,809.952,-17.952,0.267,227,45,66,,
T,2023-05-08 10:22:39,37.74618000,112.71479000,1.50,810.152,-17.952,0.778,219,47,66,,
T,2023-05-08 10:22:40,37.74618000,112.71479000,1.50,810.352,-17.952,0.450,245,49,67,,
T,2023-05-08 10:22:41,37.74618000,112.71477000,1.40,810.152,-17.952,1.469,249,50,67,,
T,2023-05-08 10:22:42,37.74618000,112.71476000,1.50,810.352,-17.952,1.477,259,50,67,,
T,2023-05-08 10:22:43,37.74618000,112.71474000,1.50,810.552,-17.952,1.220,276,48,67,,
T,2023-05-08 10:22:44,37.74618000,112.71473000,1.50,810.552,-17.952,0.658,290,49,67,,
T,2023-05-08 10:22:45,37.74618000,112.71473000,1.40,809.852,-17.952,0.148,295,49,67,,
T,2023-05-08 10:22:46,37.74618000,112.71474000,1.40,809.552,-17.952,0.306,117,46,67,,
T,2023-05-08 10:22:47,37.74618000,112.71474000,1.30,809.552,-17.952,0.252,19,48,67,,
T,2023-05-08 10:22:48,37.74618000,112.71475000,1.30,809.452,-17.952,0.464,115,48,67,,
T,2023-05-08 10:22:49,37.74618000,112.71475000,1.20,809.552,-17.952,0.660,86,49,67,,
T,2023-05-08 10:22:50,37.74618000,112.71475000,1.20,809.652,-17.952,0.620,347,48,67,,
T,2023-05-08 10:22:51,37.74618000,112.71475000,1.20,809.752,-17.952,0.491,93,49,67,,
T,2023-05-08 10:22:52,37.74618000,112.71475000,1.20,809.852,-17.952,0.346,129,47,67,,
T,2023-05-08 10:22:53,37.74618000,112.71475000,1.10,810.052,-17.952,0.229,270,49,67,,
T,2023-05-08 10:22:54,37.74617000,112.71475000,1.10,810.152,-17.952,0.164,92,48,67,,
T,2023-05-08 10:22:55,37.74618000,112.71474000,1.10,810.252,-17.952,0.171,292,48,67,,
T,2023-05-08 10:22:56,37.74618000,112.71474000,1.10,810.352,-17.952,0.150,58,49,67,,
T,2023-05-08 10:22:57,37.74618000,112.71475000,1.10,810.352,-17.952,0.131,287,50,67,,
T,2023-05-08 10:22:58,37.74618000,112.71474000,1.10,810.252,-17.952,0.100,323,50,67,,
T,2023-05-08 10:22:59,37.74618000,112.71474000,1.10,810.252,-17.952,0.096,97,50,67,,
T,2023-05-08 10:23:00,37.74618000,112.71475000,1.10,810.352,-17.952,0.000,,50,67,,
T,2023-05-08 10:23:01,37.74618000,112.71475000,1.10,810.452,-17.952,0.000,,49,67,,
T,2023-05-08 10:23:02,37.74618000,112.71475000,1.10,810.552,-17.952,0.000,,49,67,,
T,2023-05-08 10:23:03,37.74618000,112.71475000,1.10,810.552,-17.952,0.000,,49,67,,
T,2023-05-08 10:23:04,37.74618000,112.71475000,1.10,810.552,-17.952,0.000,,49,67,,
