-----------------------------------------------------
|Tracker name| Success | Norm Precision | Precision |
-----------------------------------------------------
|   TransT   |  0.695  |     0.000      |   0.899   |
| SiamRPN++  |  0.687  |     0.000      |   0.891   |
|   Ocean    |  0.684  |     0.000      |   0.920   |
| LightTrack |  0.654  |     0.000      |   0.856   |
|   SiamFC   |  0.583  |     0.000      |   0.783   |
-----------------------------------------------------


OTB2015
-------------------------------------------------------------------------------------------------------------------------------------
|    Tracker name     |     LightTrack      |      SiamRPN++      |       TransT        |       SiamFC        |        Ocean        |
-------------------------------------------------------------------------------------------------------------------------------------
|     Video name      | success | precision | success | precision | success | precision | success | precision | success | precision |
|      FaceOcc2       |  0.677  |   0.799   |  0.562  |   0.836   |  0.744  |   0.857   |  0.698  |   0.785   |  0.670  |   0.828   |
|        Fish         |  0.815  |   0.932   |  0.832  |   0.925   |  0.868  |   0.934   |  0.744  |   0.837   |  0.807  |   0.926   |
|      FleetFace      |  0.838  |   0.870   |  0.808  |   0.833   |  0.859  |   0.886   |  0.594  |   0.577   |  0.812  |   0.815   |
|      Football       |  0.249  |   0.328   |  0.694  |   0.864   |  0.135  |   0.156   |  0.714  |   0.867   |  0.736  |   0.918   |
|      Football1      |  0.676  |   0.915   |  0.829  |   0.950   |  0.797  |   0.940   |  0.645  |   0.855   |  0.774  |   0.930   |
|      Freeman1       |  0.663  |   0.903   |  0.705  |   0.904   |  0.700  |   0.899   |  0.626  |   0.846   |  0.772  |   0.925   |
|      Freeman3       |  0.822  |   0.958   |  0.809  |   0.960   |  0.804  |   0.953   |  0.768  |   0.965   |  0.802  |   0.963   |
|      Freeman4       |  0.718  |   0.944   |  0.693  |   0.933   |  0.604  |   0.779   |  0.619  |   0.804   |  0.725  |   0.941   |
|        Girl         |  0.780  |   0.937   |  0.767  |   0.941   |  0.729  |   0.944   |  0.634  |   0.871   |  0.750  |   0.935   |
|        Girl2        |  0.263  |   0.333   |  0.623  |   0.713   |  0.632  |   0.855   |  0.580  |   0.643   |  0.493  |   0.619   |
|         Gym         |  0.723  |   0.868   |  0.657  |   0.854   |  0.658  |   0.778   |  0.534  |   0.850   |  0.699  |   0.838   |
|       Human2        |  0.742  |   0.747   |  0.774  |   0.816   |  0.742  |   0.766   |  0.760  |   0.817   |  0.761  |   0.752   |
|       Human3        |  0.636  |   0.837   |  0.744  |   0.925   |  0.754  |   0.935   |  0.015  |   0.022   |  0.222  |   0.278   |
|      Human4-2       |  0.396  |   0.489   |  0.370  |   0.480   |  0.704  |   0.917   |  0.384  |   0.544   |  0.598  |   0.823   |
|       Human5        |  0.763  |   0.929   |  0.788  |   0.933   |  0.767  |   0.935   |  0.737  |   0.897   |  0.760  |   0.936   |
|       Human6        |  0.667  |   0.837   |  0.750  |   0.881   |  0.730  |   0.884   |  0.748  |   0.833   |  0.756  |   0.871   |
|       Human7        |  0.800  |   0.947   |  0.833  |   0.947   |  0.845  |   0.958   |  0.740  |   0.930   |  0.722  |   0.925   |
|       Human8        |  0.830  |   0.955   |  0.804  |   0.954   |  0.843  |   0.960   |  0.062  |   0.132   |  0.759  |   0.947   |
|       Human9        |  0.796  |   0.959   |  0.807  |   0.955   |  0.861  |   0.962   |  0.759  |   0.930   |  0.706  |   0.929   |
|       Ironman       |  0.604  |   0.801   |  0.472  |   0.584   |  0.516  |   0.669   |  0.119  |   0.151   |  0.621  |   0.808   |
|      Jogging-1      |  0.600  |   0.895   |  0.634  |   0.900   |  0.657  |   0.912   |  0.727  |   0.833   |  0.685  |   0.889   |
|      Jogging-2      |  0.746  |   0.914   |  0.773  |   0.930   |  0.739  |   0.941   |  0.744  |   0.893   |  0.728  |   0.862   |
|        Jump         |  0.507  |   0.689   |  0.416  |   0.609   |  0.744  |   0.895   |  0.090  |   0.090   |  0.474  |   0.735   |
|       Jumping       |  0.664  |   0.930   |  0.671  |   0.882   |  0.679  |   0.927   |  0.654  |   0.915   |  0.716  |   0.942   |
|      KiteSurf       |  0.840  |   0.965   |  0.824  |   0.961   |  0.473  |   0.639   |  0.656  |   0.887   |  0.774  |   0.952   |
|       Lemming       |  0.751  |   0.865   |  0.784  |   0.886   |  0.784  |   0.897   |  0.663  |   0.714   |  0.762  |   0.874   |
|       Liquor        |  0.618  |   0.652   |  0.611  |   0.652   |  0.770  |   0.814   |  0.407  |   0.436   |  0.792  |   0.835   |
|         Man         |  0.827  |   0.960   |  0.871  |   0.965   |  0.819  |   0.963   |  0.694  |   0.960   |  0.813  |   0.960   |
|       Matrix        |  0.730  |   0.880   |  0.695  |   0.855   |  0.711  |   0.836   |  0.395  |   0.570   |  0.628  |   0.842   |
|       Mhyang        |  0.788  |   0.913   |  0.723  |   0.953   |  0.770  |   0.938   |  0.792  |   0.935   |  0.752  |   0.921   |
|    MotorRolling     |  0.605  |   0.632   |  0.631  |   0.704   |  0.800  |   0.849   |  0.487  |   0.578   |  0.668  |   0.820   |
|    MountainBike     |  0.777  |   0.919   |  0.811  |   0.918   |  0.649  |   0.841   |  0.720  |   0.868   |  0.770  |   0.902   |
|        Panda        |  0.612  |   0.930   |  0.621  |   0.926   |  0.631  |   0.932   |  0.633  |   0.911   |  0.627  |   0.929   |
|       RedTeam       |  0.649  |   0.948   |  0.748  |   0.950   |  0.745  |   0.948   |  0.681  |   0.942   |  0.725  |   0.953   |
|        Rubik        |  0.716  |   0.773   |  0.712  |   0.751   |  0.694  |   0.756   |  0.691  |   0.751   |  0.735  |   0.804   |
|       Shaking       |  0.700  |   0.846   |  0.802  |   0.902   |  0.632  |   0.734   |  0.712  |   0.866   |  0.784  |   0.885   |
|       Singer1       |  0.769  |   0.845   |  0.768  |   0.862   |  0.747  |   0.896   |  0.670  |   0.801   |  0.672  |   0.759   |
|       Singer2       |  0.472  |   0.277   |  0.687  |   0.672   |  0.442  |   0.334   |  0.066  |   0.037   |  0.480  |   0.324   |
|       Skater        |  0.682  |   0.780   |  0.740  |   0.878   |  0.707  |   0.836   |  0.653  |   0.843   |  0.715  |   0.806   |
|       Skater2       |  0.679  |   0.867   |  0.698  |   0.835   |  0.681  |   0.867   |  0.623  |   0.809   |  0.689  |   0.837   |
|      Skating1       |  0.301  |   0.384   |  0.341  |   0.406   |  0.340  |   0.458   |  0.353  |   0.679   |  0.712  |   0.859   |
|     Skating2-1      |  0.533  |   0.676   |  0.449  |   0.552   |  0.561  |   0.676   |  0.317  |   0.398   |  0.534  |   0.692   |
